Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.800,$0.070 / 0.80%,"5,793","$50,878.73","$10,789,075,686"
AMP,AMP Limited,$1.130,-$0.010 / -0.88%,"14,317","$16,434.76","$3,883,357,142"
ANZ,Australia and New Zealand Banking Group Limited,$29.080,$0.090 / 0.31%,"19,540","$568,214.01","$82,549,950,934"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.860,-$0.010 / -1.15%,"117,575","$102,238.98","$333,925,422"
WBC,Westpac Banking Corporation,$27.110,$0.050 / 0.18%,"17,633","$478,438.47","$99,455,523,915"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.370,-$0.110 / -4.44%,"33,917","$82,067.61","$651,750,000"
CRP,Chatham Rock Phosphate Limited,$0.129,-$0.006 / -4.44%,"2,692",$347.73,"$8,350,212"
TCL,The City of London Investment Trust Plc,$7.820,-$0.030 / -0.38%,"13,505","$105,450.48","$3,492,019,968"
FCT,F&C Investment Trust PLC,$17.450,$0.000 / 0.00%,1,$17.51,"$9,268,110,642"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.700,$0.120 / 3.35%,"37,782","$139,201.46","$4,370,546,024"
BIT,The Bankers Investment Trust Plc,$2.320,$0.000 / 0.00%,"15,341","$35,622.17","$3,051,038,566"
JPG,JPMorgan Global Growth & Income plc,$9.300,$0.043 / 0.46%,567,"$5,273.10","$1,431,635,351"
HFL,Henderson Far East Income Limited,$6.390,$0.000 / 0.00%,62,$396.18,"$965,487,874"
AFT,AFT Pharmaceuticals Limited,$4.200,-$0.020 / -0.47%,"18,611","$78,496.33","$439,651,275"
AGG,Smartshares Global Aggregate Bond ETF,$1.330,$0.002 / 0.15%,"10,000,915","$13,277,900.17","$162,173,058"
AIA,Auckland International Airport Limited,$7.180,-$0.050 / -0.69%,"805,046","$5,756,881.94","$10,573,608,598"
AIR,Air New Zealand Limited (NS),$1.540,$0.005 / 0.33%,"885,766","$1,369,037.84","$1,729,127,468"
ALF,Allied Farmers Limited,$0.630,$0.010 / 1.61%,"9,376","$5,885.59","$18,148,053"
APA,Smartshares Asia Pacific ETF,$2.354,$0.008 / 0.34%,"51,179","$120,389.52","$132,155,269"
PCT,Precinct Properties New Zealand Limited (NS),$1.710,$0.020 / 1.18%,"676,328","$1,156,376.55","$2,527,786,523"
ARG,Argosy Property Limited,$1.650,$0.010 / 0.61%,"1,404,049","$2,319,514.62","$1,390,239,672"
ARV,Arvida Group Limited,$2.090,-$0.010 / -0.48%,"865,473","$1,808,071.78","$1,135,235,457"
ASD,Smartshares Australian Dividend ETF,$1.669,-$0.006 / -0.36%,"8,663","$14,510.24","$32,219,279"
ASF,Smartshares Australian Financials ETF,$7.918,$0.035 / 0.44%,"1,449","$11,434.48","$29,814,976"
ASP,Smartshares Australian Property ETF,$1.644,$0.010 / 0.61%,"7,859","$12,861.29","$66,865,641"
ASR,Smartshares Australian Resources ETF,$5.412,-$0.126 / -2.28%,"76,076","$412,691.78","$43,066,710"
ATM,The a2 Milk Company Limited,$6.050,$0.110 / 1.85%,"1,935,965","$11,703,329.86","$4,498,855,177"
AUS,Smartshares S&P/ASX 200 ETF,$3.114,$0.011 / 0.35%,"1,651,250","$5,141,648.88","$45,815,373"
AGL,Accordant Group Limited,$1.650,$0.030 / 1.85%,"5,136","$8,455.38","$55,783,617"
GXH,Green Cross Health Limited,$1.150,$0.040 / 3.60%,"6,701","$7,707.78","$164,625,673"
BFG,Burger Fuel Group Limited,$0.395,$0.000 / 0.00%,"1,672",$653.39,"$19,883,061"
BGP,Briscoe Group Limited,$6.600,$0.100 / 1.54%,"18,465","$120,700.71","$1,468,871,580"
BGP,Briscoe Group Limited,$6.600,$0.100 / 1.54%,"18,465","$120,700.71","$1,468,871,580"
BLT,Blis Technologies Limited,$0.067,$0.000 / 0.00%,"131,161","$8,631.37","$85,344,707"
BOT,Smartshares Automation and Robotics ETF,$4.736,$0.027 / 0.57%,"17,082","$80,682.14","$51,579,260"
BRM,Barramundi Limited,$1.090,$0.020 / 1.87%,"148,138","$161,035.25","$233,003,510"
BRMWF,Barramundi Limited,$0.335,$0.005 / 1.52%,"188,433","$63,108.20","$17,598,528"
MHM,MHM Automation Limited,$0.620,-$0.020 / -3.13%,"42,699","$26,561.11","$40,683,822"
BRW,Bremworth Limited,$0.660,$0.020 / 3.13%,"93,321","$61,758.04","$45,328,205"
CBD,Cannasouth Limited,$0.400,-$0.010 / -2.44%,"187,770","$75,752.92","$54,112,220"
CEN,Contact Energy Limited,$8.300,$0.120 / 1.47%,"645,502","$5,320,112.78","$6,441,813,181"
CGF,Cooks Global Foods Limited,$0.042,$0.003 / 7.69%,"9,822",$412.52,"$26,369,021"
VHP,Vital Healthcare Property Trust,$3.160,-$0.150 / -4.53%,"2,510,298","$7,980,965.52","$1,655,345,697"
CMO,The Colonial Motor Company Limited,$10.350,-$0.050 / -0.48%,"2,409","$24,972.25","$338,389,441"
CNU,Chorus Limited (NS),$7.180,$0.090 / 1.27%,"218,477","$1,558,937.83","$3,209,638,667"
CO2,Carbon Fund,$1.930,$0.050 / 2.66%,"161,688","$314,583.02","$49,804,024"
GMT,Goodman Property Trust (NS),$2.585,$0.000 / 0.00%,"716,982","$1,853,429.97","$3,612,029,129"
CVT,Comvita Limited,$3.690,$0.040 / 1.10%,"153,603","$563,878.37","$259,713,362"
DGL,Delegat Group Limited,$14.000,-$0.100 / -0.71%,"7,060","$98,062.33","$1,415,822,688"
DIV,Smartshares NZ Dividend ETF,$1.364,$0.000 / 0.00%,"128,464","$174,998.95","$113,085,436"
SPY,Smartpay Holdings Limited,$0.765,$0.000 / 0.00%,"12,492","$9,624.81","$182,287,997"
EBO,Ebos Group Limited,$35.440,-$0.560 / -1.56%,"58,738","$2,108,795.96","$5,818,344,847"
ACE,Ascension Capital Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$1,914,888"
EMF,Smartshares Emerging Markets ETF,$1.500,$0.016 / 1.08%,"46,017","$68,727.55","$162,178,733"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.502,$0.004 / 0.16%,"3,800","$9,479.14","$38,862,755"
ENS,Enprise Group Limited,$2.450,-$0.050 / -2.00%,"5,230","$12,841.15","$39,586,363"
