Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.900,$0.060 / 0.68%,505,"$4,488.09","$10,911,678,819"
AMP,AMP Limited,$1.130,-$0.010 / -0.88%,"44,622","$50,495.60","$3,883,357,142"
ANZ,Australia and New Zealand Banking Group Limited,$29.200,-$0.060 / -0.21%,"20,959","$609,864.42","$82,819,165,380"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.870,$0.000 / 0.00%,"486,559","$427,922.85","$337,808,275"
WBC,Westpac Banking Corporation,$27.100,$0.000 / 0.00%,"17,739","$479,951.22","$99,418,837,997"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.800,$0.110 / 4.09%,"112,160","$308,080.54","$770,000,000"
CRP,Chatham Rock Phosphate Limited,$0.130,$0.001 / 0.78%,"148,336","$19,254.13","$8,414,943"
TCL,The City of London Investment Trust Plc,$7.700,-$0.050 / -0.65%,273,"$2,113.15","$3,438,433,984"
FCT,F&C Investment Trust PLC,$17.600,$0.000 / 0.00%,507,"$8,930.26","$9,346,399,638"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.630,-$0.030 / -0.82%,413,"$1,507.67","$4,287,860,018"
BIT,The Bankers Investment Trust Plc,$2.300,-$0.050 / -2.13%,"66,901","$154,389.91","$3,024,736,509"
JPG,JPMorgan Global Growth & Income plc,$9.300,-$0.050 / -0.53%,904,"$8,420.12","$1,436,378,351"
HFL,Henderson Far East Income Limited,$6.190,-$0.010 / -0.16%,"3,000","$18,524.63","$935,269,161"
AFT,AFT Pharmaceuticals Limited,$4.190,$0.060 / 1.45%,"28,409","$117,853.24","$438,646,386"
AGG,Smartshares Global Aggregate Bond ETF,$1.327,-$0.004 / -0.30%,"6,274","$8,307.02","$162,975,014"
AIA,Auckland International Airport Limited,$7.375,$0.045 / 0.61%,"703,216","$5,168,882.75","$10,860,774,848"
AIR,Air New Zealand Limited (NS),$1.575,$0.005 / 0.32%,"365,669","$576,754.32","$1,768,425,819"
ALF,Allied Farmers Limited,$0.630,$0.000 / 0.00%,"5,336","$3,311.33","$18,148,053"
APA,Smartshares Asia Pacific ETF,$2.390,$0.012 / 0.50%,"37,415","$89,319.84","$135,658,135"
